N,Train_MAPE,Valid_MAPE,Extended_MAPE,Coef_a,Coef_b,Drift_First5,Drift_Middle14,Drift_Last5,Drift_Q1,Drift_Q2,Drift_Q3,Drift_Q4,Total_Drift,Eigenval_Min,Eigenval_Max,Num_Eigenvals
300,5.5987570354,3.6531092866,3.8151981001,1287.5303928679,-264.7500013872,5.0114783220,3.9106087256,3.6179801011,5.5627899278,5.2283156121,4.1368315142,3.6843859370,-1.3934982208,0.2232492856,0.4079368963,100
305,5.6310989462,4.2903275345,4.0870936006,1309.3268668687,-267.7282357293,5.1303591263,4.9055734377,4.3011156844,5.7306552959,6.4829176280,5.1912098562,4.6199370192,-0.8292434419,0.2218402674,0.4074057319,102
310,5.6216665087,4.3805783815,4.0275912880,1330.2927938955,-273.3179490454,5.1360052163,5.0347118519,4.4468304490,5.7404646939,6.6923239894,5.4518233870,4.6176003169,-0.6891747672,0.2225278533,0.4069047606,103
315,5.6140778193,4.4849177623,3.9692446234,1351.2811385902,-278.9136313825,5.1413931794,5.2177591113,4.7352469828,5.7504614548,6.8857939941,5.7547511504,4.6807670722,-0.4061461967,0.2231976700,0.4079758502,105
320,5.6392826576,5.1814938910,4.2105483152,1373.3151240427,-281.9491383041,5.2322648820,6.5287427967,6.3088898416,5.8706492346,8.0242960450,7.0874202670,5.9700653263,1.0766249595,0.2218512451,0.4074587377,107
325,5.6318375559,5.2888400056,4.1676440878,1394.3037976774,-287.5450468787,5.2339940928,6.7368029690,6.4420659165,5.8754112988,8.2100459067,7.2638433815,6.2097625566,1.2080718237,0.2225115931,0.4069717669,108
330,5.6276242418,5.3854140794,4.1469763646,1415.3255884884,-293.1497365841,5.2362565210,6.9107505647,6.5281117201,5.8803465838,8.3953125361,7.4474318726,6.3740692567,1.2918551991,0.2231656019,0.4079950850,110
335,5.6457154653,5.9847175874,4.6386822563,1437.5423926078,-296.2284490407,5.3085918831,8.0369670539,7.6223075889,5.9726768896,9.3930446498,8.5465785632,7.5273555447,2.3137157058,0.2218669652,0.4075176037,112
340,5.6418502465,6.0746976461,4.6805889587,1458.5625888590,-301.8329252166,5.3084012843,8.2297413092,7.7655327881,5.9744094696,9.5130483985,8.7573181810,7.7021644375,2.4571315038,0.2225129209,0.4070377642,113
345,5.6378245435,6.1677695141,4.7289285372,1479.5791249767,-307.4364411488,5.3080424398,8.4393431596,7.9185334825,5.9758145508,9.6217687781,8.9654549713,7.9132313479,2.6104910427,0.2231416773,0.4080142019,115
350,5.6530582077,6.7279701718,5.3069806503,1501.9804859502,-310.5591759138,5.3672180487,9.7106382433,9.0474005117,6.0505827049,10.1731579796,10.0676280408,9.3536484458,3.6801824631,0.2218980618,0.4075574834,117
