Index,Eigenvalue_λ,Riemann_Zero_γ,Predicted_γ,Error,Error_Percent
1,0.2226077862,14.1347251417,22.3501228724,8.2153977307,58.1220904427
2,0.2254985893,21.0220396388,25.1219089809,4.0998693421,19.5027191110
3,0.2284086607,25.0108575801,27.9121700368,2.9013124566,11.6002118173
4,0.2313733234,30.4248761259,30.7547748657,0.3298987399,1.0843059427
5,0.2343162927,32.9350615877,33.5765793940,0.6415178062,1.9478263447
6,0.2372781485,37.5861781588,36.4164928146,-1.1696853443,3.1120092586
7,0.2402507804,40.9187190121,39.2667387241,-1.6519802881,4.0372238622
8,0.2432283191,43.3270732809,42.1216893851,-1.2053838958,2.7820570478
9,0.2462153865,48.0051508812,44.9857764369,-3.0193744443,6.2896884789
10,0.2492087302,49.7738324777,47.8558814158,-1.9179510619,3.8533320952
11,0.2522078817,52.9703214777,50.7315551149,-2.2387663628,4.2264541735
12,0.2552120166,56.4462476971,53.6120069865,-2.8342407106,5.0211321854
13,0.2582197411,59.3470440026,56.4959006832,-2.8511433194,4.8041875839
14,0.2612298985,60.8317785246,59.3821271247,-1.4496513999,2.3830495098
15,0.2642410375,65.1125440481,62.2692947557,-2.8432492924,4.3666690251
16,0.2672515811,67.0798105295,65.1558915161,-1.9239190134,2.8681044240
17,0.2702597668,69.5464017112,68.0402274435,-1.5061742677,2.1657112814
18,0.2732637124,72.0671576745,70.9204978025,-1.1466598720,1.5910990651
19,0.2762612386,75.7046906991,73.7946130361,-1.9100776630,2.5230638225
20,0.2792494920,77.1448400689,76.6598373043,-0.4850027646,0.6286911271
21,0.2822262189,79.3373750202,79.5140095995,0.1766345793,0.2226372869
22,0.2851894442,82.9103808541,82.3552361831,-0.5551446710,0.6695719707
23,0.2881311662,84.7354929805,85.1758447255,0.4403517449,0.5196780351
24,0.2910454158,87.4252746131,87.9701119758,0.5448373627,0.6232034902
25,0.2939454658,88.8091112076,90.7507642403,1.9416530327,2.1863218833
26,0.2968115254,92.4918992706,93.4988255747,1.0069263041,1.0886643177
27,0.2995670444,94.6513440405,96.1408973166,1.4895532761,1.5737264919
28,0.3022662773,95.8706342282,98.7290002536,2.8583660253,2.9814823364
29,0.3049300343,98.8311942182,101.2830879344,2.4518937162,2.4808905079
30,0.3066456220,101.3178510057,102.9280432598,1.6101922540,1.5892483289
